#curie_map:
#  owasp_asi: https://genai.owasp.org/resource/owasp-top-10-for-agentic-applications-for-2026/
#  ibm-risk-atlas: https://www.ibm.com/docs/en/watsonx/saas?topic=
#  aiuc1: https://www.aiuc-1.com/
#  granite-guardian: https://arxiv.org/abs/2412.07724
#  semapv: https://w3id.org/semapv/vocab/
#  skos: http://www.w3.org/2004/02/skos/core#
#mapping_set_id: https://github.com/IBM/ai-atlas-nexus/tree/main/src/data/mappings/owasp_asi2ibm_risk_atlas.tsv
#mapping_set_description: Mapping from OWASP Top 10 for Agentic Applications 2026 to IBM AI Risk Atlas, Granite Guardian and AIUC-1
#license: https://www.apache.org/licenses/LICENSE-2.0.html
#mapping_date: "2026-06-17"
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	author_id	confidence	comment
owasp_asi:asi01-agent-goal-hijack	Agent Goal Hijack	skos:relatedMatch	ibm-risk-atlas:atlas-prompt-injection	Prompt injection attack	semapv:LLMBasedMatching	ingevejs@ie.ibm.com	0.9	Both involve injection attacks that manipulate system behavior; agent goal hijack extends to multi-step workflows
owasp_asi:asi01-agent-goal-hijack	Agent Goal Hijack	skos:relatedMatch	ibm-risk-atlas:atlas-jailbreaking	Jailbreaking	semapv:LLMBasedMatching	ingevejs@ie.ibm.com	0.85	Both involve circumventing intended constraints through indirect manipulation
owasp_asi:asi01-agent-goal-hijack	Agent Goal Hijack	skos:relatedMatch	ibm-risk-atlas:atlas-prompt-priming	Prompt priming	semapv:LLMBasedMatching	ingevejs@ie.ibm.com	0.8	Priming can set the context for goal redirection through subtle instruction influence
owasp_asi:asi02-tool-misuse-and-exploitation	Tool Misuse & Exploitation	skos:relatedMatch	ibm-risk-atlas:atlas-prompt-injection	Prompt injection attack	semapv:LLMBasedMatching	ingevejs@ie.ibm.com	0.9	Tool selection and execution can be manipulated via prompt injection
owasp_asi:asi02-tool-misuse-and-exploitation	Tool Misuse & Exploitation	skos:relatedMatch	ibm-risk-atlas:atlas-unauthorized-use-agentic	Unauthorized use	semapv:LLMBasedMatching	ingevejs@ie.ibm.com	0.85	Misused tools can lead to unauthorized data access and misuse
owasp_asi:asi02-tool-misuse-and-exploitation	Tool Misuse & Exploitation	skos:relatedMatch	ibm-risk-atlas:atlas-over-or-under-reliance	Over- or under-reliance	semapv:LLMBasedMatching	ingevejs@ie.ibm.com	0.75	Over-reliance on agent tool recommendations can lead to unsafe tool application
owasp_asi:asi03-identity-and-privilege-abuse	Identity & Privilege Abuse	skos:relatedMatch	ibm-risk-atlas:atlas-unauthorized-use-agentic	Unauthorized use	semapv:LLMBasedMatching	ingevejs@ie.ibm.com	0.95	Identity abuse directly enables unauthorized access through privilege escalation
owasp_asi:asi03-identity-and-privilege-abuse	Identity & Privilege Abuse	skos:relatedMatch	ibm-risk-atlas:atlas-nonconsensual-use	Nonconsensual use	semapv:LLMBasedMatching	ingevejs@ie.ibm.com	0.8	Both involve misuse of identity for unintended purposes
owasp_asi:asi03-identity-and-privilege-abuse	Identity & Privilege Abuse	skos:relatedMatch	ibm-risk-atlas:atlas-exposing-personal-information	Exposing personal information	semapv:LLMBasedMatching	ingevejs@ie.ibm.com	0.75	Privilege abuse can lead to exposure of protected information
owasp_asi:asi04-agentic-supply-chain-vulnerabilities	Agentic Supply Chain Vulnerabilities	skos:relatedMatch	ibm-risk-atlas:atlas-data-contamination	Data contamination	semapv:LLMBasedMatching	ingevejs@ie.ibm.com	0.85	Compromised components (tools, schemas) contaminate the agent's knowledge and decision-making
