# curie_map:
#   owasp-asi: https://genai.owasp.org/resource/owasp-top-10-for-agentic-applications-for-2026/
#   owasp-llm-2.0: https://genai.owasp.org/llmrisk/
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
# mapping_set_id: https://github.com/IBM/ai-atlas-nexus/tree/main/src/data/mappings/owasp_asi2owasp_llm.tsv
# mapping_set_description: Mapping of OWASP Top 10 for Agentic Applications 2026 to OWASP Top 10 for LLM Applications 2025
# license: https://www.apache.org/licenses/LICENSE-2.0.html
# mapping_date: '2026-04-28'
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	author_id	confidence	comment
owasp-asi:asi01-agent-goal-hijack	ASI01:2026 Agent Goal Hijack	skos:broadMatch	owasp-llm-2.0:llm01-prompt-injection	LLM01:2025 Prompt Injection	semapv:ManualMappingCuration	orcid:0009-0000-9090-7682	0.85	Prompt injection is one mechanism for goal hijack, but ASI01 also includes indirect instruction injection via documents/tool outputs, recursive hijacking through reasoning chains, and cross-context injection. The effect (goal hijack) is broader than the mechanism (prompt injection).
owasp-asi:asi01-agent-goal-hijack	ASI01:2026 Agent Goal Hijack	skos:relatedMatch	owasp-llm-2.0:llm062025-excessive-agency	LLM06:2025 Excessive Agency	semapv:ManualMappingCuration	orcid:0009-0000-9090-7682	0.80	The damage from goal hijack scales with how much autonomy the agent has. Without excessive agency a hijacked goal produces limited harm. LLM06 is a contributing factor that amplifies ASI01 impact.
owasp-asi:asi02-tool-misuse-and-exploitation	ASI02:2026 Tool Misuse & Exploitation	skos:narrowMatch	owasp-llm-2.0:llm062025-excessive-agency	LLM06:2025 Excessive Agency	semapv:ManualMappingCuration	orcid:0009-0000-9090-7682	0.90	Tool misuse is a specific manifestation of excessive agency. LLM06 describes the permission problem (agents granted too much capability); ASI02 describes the orchestration problem that emerges from it (unsafe tool composition, recursive calls, budget exhaustion, cross-tool state leakage).
owasp-asi:asi03-identity-and-privilege-abuse	ASI03:2026 Identity & Privilege Abuse	skos:relatedMatch	owasp-llm-2.0:llm01-prompt-injection	LLM01:2025 Prompt Injection	semapv:ManualMappingCuration	orcid:0009-0000-9090-7682	0.75	Injection can be the mechanism that triggers privilege abuse (e.g. injecting instructions that cause an agent to impersonate another), but identity abuse can also happen without injection through implicit trust relationships and identity inheritance in agent chains.
owasp-asi:asi03-identity-and-privilege-abuse	ASI03:2026 Identity & Privilege Abuse	skos:relatedMatch	owasp-llm-2.0:llm022025-sensitive-information-disclosure	LLM02:2025 Sensitive Information Disclosure	semapv:ManualMappingCuration	orcid:0009-0000-9090-7682	0.75	Privilege abuse can result in information disclosure when agents access data beyond their intended scope, but the core ASI03 risk is about unauthorized actions through delegated authority and not data leakage specifically. Information disclosure is one possible consequence.
owasp-asi:asi03-identity-and-privilege-abuse	ASI03:2026 Identity & Privilege Abuse	skos:narrowMatch	owasp-llm-2.0:llm062025-excessive-agency	LLM06:2025 Excessive Agency	semapv:ManualMappingCuration	orcid:0009-0000-9090-7682	0.85	Identity and privilege abuse is the agentic evolution of excessive agency. LLM06 is the general principle of agents granted too much capability; ASI03 is the identity-specific instantiation covering delegated authority, agent impersonation, cross-agent trust exploitation, and identity inheritance through agent chains.
owasp-asi:asi04-agentic-supply-chain-vulnerabilities	ASI04:2026 Agentic Supply Chain Vulnerabilities	skos:narrowMatch	owasp-llm-2.0:llm032025-supply-chain	LLM03:2025 Supply Chain	semapv:ManualMappingCuration	orcid:0009-0000-9090-7682	0.90	Agentic supply chain is a subset of supply chain risk. LLM03 covers static pre-deployment supply chain risks (poisoned models, compromised dependencies). ASI04 narrows this to dynamic runtime composition where agents discover and integrate tools, schemas, and registries during execution, which cannot be vetted through traditional pre-deployment controls.
owasp-asi:asi05-unexpected-code-execution	ASI05:2026 Unexpected Code Execution (RCE)	skos:relatedMatch	owasp-llm-2.0:llm01-prompt-injection	LLM01:2025 Prompt Injection	semapv:ManualMappingCuration	orcid:0009-0000-9090-7682	0.80	Injection can be the trigger that causes an agent to generate malicious code, but code execution risks can also arise from legitimate tool use, code hallucination, or unsafe deserialization without any injection. Prompt injection is one possible vector for unexpected code execution.
owasp-asi:asi05-unexpected-code-execution	ASI05:2026 Unexpected Code Execution (RCE)	skos:narrowMatch	owasp-llm-2.0:llm052025-improper-output-handling	LLM05:2025 Improper Output Handling	semapv:ManualMappingCuration	orcid:0009-0000-9090-7682	0.85	Code execution is a specific case of improper output handling. LLM05 covers insufficient validation of model outputs before passing them downstream and ASI05 narrows this to the case where the downstream consumer is a code executor and the agent generates or triggers code without adequate sandboxing or validation. Reflects the evolution from single manipulated outputs to orchestrated multi-tool chains achieving execution.
owasp-asi:asi06-memory-and-context-poisoning	ASI06:2026 Memory & Context Poisoning	skos:relatedMatch	owasp-llm-2.0:llm01-prompt-injection	LLM01:2025 Prompt Injection	semapv:ManualMappingCuration	orcid:0009-0000-9090-7682	0.75	Injection can be the delivery mechanism for memory poisoning (e.g. injecting instructions that write to persistent memory), but memory can also be poisoned through other channels such as corrupted tool outputs, manipulated retrieval results, or cross-session state leakage.
owasp-asi:asi06-memory-and-context-poisoning	ASI06:2026 Memory & Context Poisoning	skos:broadMatch	owasp-llm-2.0:llm042025-data-and-model-poisoning	LLM04:2025 Data and Model Poisoning	semapv:ManualMappingCuration	orcid:0009-0000-9090-7682	0.85	LLM04 is specifically about training and fine-tuning data poisoning. ASI06 encompasses that plus runtime memory corruption, cross-session context injection, and state manipulation. Memory and context poisoning is a broader category of persistent state attacks that includes training data poisoning as one vector.
owasp-asi:asi06-memory-and-context-poisoning	ASI06:2026 Memory & Context Poisoning	skos:relatedMatch	owasp-llm-2.0:llm082025-vector-and-embedding-weaknesses	LLM08:2025 Vector and Embedding Weaknesses	semapv:ManualMappingCuration	orcid:0009-0000-9090-7682	0.75	Many agent memory stores use vector embeddings (RAG), so LLM08 embedding manipulation risks apply as one attack surface. But ASI06 is broader than vector stores alone, covering all forms of persistent agent state including structured memory, conversation history, and cross-session context.
